Census Region,Census Region Code,Year,Year Code,ICD Chapter,ICD Chapter Code,Deaths,Population,Crude Rate
Census Region 1: Northeast,CENS-R1,2002,2002,Mental and behavioural disorders,F01-F99,10369,54143915,19.2
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the nervous system,G00-G98,17910,54143915,33.1
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the circulatory system,I00-I99,191959,54143915,354.5
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the respiratory system,J00-J98,46028,54143915,85
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the digestive system,K00-K92,16510,54143915,30.5
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the skin and subcutaneous tissue,L00-L98,727,54143915,1.3
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the musculoskeletal system and connective tissue,M00-M99,2387,54143915,4.4
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the genitourinary system,N00-N98,12930,54143915,23.9
Census Region 1: Northeast,CENS-R1,2002,2002,"Pregnancy, childbirth and the puerperium",O00-O99,49,54143915,0.1
Census Region 1: Northeast,CENS-R1,2002,2002,Certain conditions originating in the perinatal period,P00-P96,2448,54143915,4.5
Census Region 1: Northeast,CENS-R1,2002,2002,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1635,54143915,3
Census Region 1: Northeast,CENS-R1,2002,2002,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6474,54143915,12
Census Region 1: Northeast,CENS-R1,2002,2002,External causes of morbidity and mortality,V01-Y89,24315,54143915,44.9
Census Region 1: Northeast,CENS-R1,2003,2003,Certain infectious and parasitic diseases,A00-B99,15085,54334453,27.8
Census Region 1: Northeast,CENS-R1,2003,2003,Neoplasms,C00-D48,116653,54334453,214.7
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1989,54334453,3.7
Census Region 1: Northeast,CENS-R1,2003,2003,"Endocrine, nutritional and metabolic diseases",E00-E88,18855,54334453,34.7
Census Region 1: Northeast,CENS-R1,2003,2003,Mental and behavioural disorders,F01-F99,11259,54334453,20.7
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the nervous system,G00-G98,18173,54334453,33.4
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the ear and mastoid process,H60-H93,11,54334453,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the circulatory system,I00-I99,187444,54334453,345
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the respiratory system,J00-J98,45401,54334453,83.6
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the digestive system,K00-K92,16660,54334453,30.7
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the skin and subcutaneous tissue,L00-L98,821,54334453,1.5
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the musculoskeletal system and connective tissue,M00-M99,2463,54334453,4.5
Census Region 1: Northeast,CENS-R1,2003,2003,Diseases of the genitourinary system,N00-N98,12959,54334453,23.9
Census Region 1: Northeast,CENS-R1,2003,2003,"Pregnancy, childbirth and the puerperium",O00-O99,96,54334453,0.2
Census Region 1: Northeast,CENS-R1,2003,2003,Certain conditions originating in the perinatal period,P00-P96,2414,54334453,4.4
Census Region 1: Northeast,CENS-R1,2003,2003,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1577,54334453,2.9
Census Region 1: Northeast,CENS-R1,2003,2003,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6102,54334453,11.2
Census Region 1: Northeast,CENS-R1,2003,2003,External causes of morbidity and mortality,V01-Y89,24692,54334453,45.4
Census Region 1: Northeast,CENS-R1,2004,2004,Certain infectious and parasitic diseases,A00-B99,15331,54423533,28.2
Census Region 1: Northeast,CENS-R1,2004,2004,Neoplasms,C00-D48,115399,54423533,212
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1964,54423533,3.6
Census Region 1: Northeast,CENS-R1,2004,2004,"Endocrine, nutritional and metabolic diseases",E00-E88,18330,54423533,33.7
Census Region 1: Northeast,CENS-R1,2004,2004,Mental and behavioural disorders,F01-F99,11808,54423533,21.7
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the nervous system,G00-G98,18891,54423533,34.7
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the ear and mastoid process,H60-H93,15,54423533,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the circulatory system,I00-I99,178339,54423533,327.7
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the respiratory system,J00-J98,45233,54423533,83.1
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the digestive system,K00-K92,16173,54423533,29.7
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the skin and subcutaneous tissue,L00-L98,828,54423533,1.5
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the musculoskeletal system and connective tissue,M00-M99,2397,54423533,4.4
Census Region 1: Northeast,CENS-R1,2004,2004,Diseases of the genitourinary system,N00-N98,13089,54423533,24.1
Census Region 1: Northeast,CENS-R1,2004,2004,"Pregnancy, childbirth and the puerperium",O00-O99,138,54423533,0.3
Census Region 1: Northeast,CENS-R1,2004,2004,Certain conditions originating in the perinatal period,P00-P96,2348,54423533,4.3
Census Region 1: Northeast,CENS-R1,2004,2004,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1525,54423533,2.8
Census Region 1: Northeast,CENS-R1,2004,2004,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6586,54423533,12.1
Census Region 1: Northeast,CENS-R1,2004,2004,External causes of morbidity and mortality,V01-Y89,24435,54423533,44.9
Census Region 1: Northeast,CENS-R1,2005,2005,Certain infectious and parasitic diseases,A00-B99,15643,54451230,28.7
Census Region 1: Northeast,CENS-R1,2005,2005,Neoplasms,C00-D48,114704,54451230,210.7
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1990,54451230,3.7
Census Region 1: Northeast,CENS-R1,2005,2005,"Endocrine, nutritional and metabolic diseases",E00-E88,18673,54451230,34.3
Census Region 1: Northeast,CENS-R1,2005,2005,Mental and behavioural disorders,F01-F99,13693,54451230,25.1
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the nervous system,G00-G98,19914,54451230,36.6
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the circulatory system,I00-I99,175731,54451230,322.7
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the respiratory system,J00-J98,46169,54451230,84.8
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the digestive system,K00-K92,16180,54451230,29.7
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the skin and subcutaneous tissue,L00-L98,844,54451230,1.6
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the musculoskeletal system and connective tissue,M00-M99,2382,54451230,4.4
Census Region 1: Northeast,CENS-R1,2005,2005,Diseases of the genitourinary system,N00-N98,13364,54451230,24.5
Census Region 1: Northeast,CENS-R1,2005,2005,"Pregnancy, childbirth and the puerperium",O00-O99,112,54451230,0.2
Census Region 1: Northeast,CENS-R1,2005,2005,Certain conditions originating in the perinatal period,P00-P96,2278,54451230,4.2
Census Region 1: Northeast,CENS-R1,2005,2005,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1514,54451230,2.8
Census Region 1: Northeast,CENS-R1,2005,2005,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6862,54451230,12.6
Census Region 1: Northeast,CENS-R1,2005,2005,External causes of morbidity and mortality,V01-Y89,25334,54451230,46.5
Census Region 1: Northeast,CENS-R1,2006,2006,Certain infectious and parasitic diseases,A00-B99,15410,54522659,28.3
Census Region 1: Northeast,CENS-R1,2006,2006,Neoplasms,C00-D48,114032,54522659,209.1
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1748,54522659,3.2
Census Region 1: Northeast,CENS-R1,2006,2006,"Endocrine, nutritional and metabolic diseases",E00-E88,17625,54522659,32.3
Census Region 1: Northeast,CENS-R1,2006,2006,Mental and behavioural disorders,F01-F99,17384,54522659,31.9
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the nervous system,G00-G98,19582,54522659,35.9
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the circulatory system,I00-I99,167570,54522659,307.3
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the respiratory system,J00-J98,42437,54522659,77.8
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the digestive system,K00-K92,15932,54522659,29.2
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the skin and subcutaneous tissue,L00-L98,733,54522659,1.3
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the musculoskeletal system and connective tissue,M00-M99,2305,54522659,4.2
Census Region 1: Northeast,CENS-R1,2006,2006,Diseases of the genitourinary system,N00-N98,13308,54522659,24.4
Census Region 1: Northeast,CENS-R1,2006,2006,"Pregnancy, childbirth and the puerperium",O00-O99,144,54522659,0.3
Census Region 1: Northeast,CENS-R1,2006,2006,Certain conditions originating in the perinatal period,P00-P96,2364,54522659,4.3
Census Region 1: Northeast,CENS-R1,2006,2006,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1463,54522659,2.7
Census Region 1: Northeast,CENS-R1,2006,2006,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,5805,54522659,10.6
Census Region 1: Northeast,CENS-R1,2006,2006,External causes of morbidity and mortality,V01-Y89,26646,54522659,48.9
Census Region 1: Northeast,CENS-R1,2007,2007,Certain infectious and parasitic diseases,A00-B99,15161,54653362,27.7
Census Region 1: Northeast,CENS-R1,2007,2007,Neoplasms,C00-D48,113515,54653362,207.7
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1911,54653362,3.5
Census Region 1: Northeast,CENS-R1,2007,2007,"Endocrine, nutritional and metabolic diseases",E00-E88,17510,54653362,32
Census Region 1: Northeast,CENS-R1,2007,2007,Mental and behavioural disorders,F01-F99,17685,54653362,32.4
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the nervous system,G00-G98,20511,54653362,37.5
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the circulatory system,I00-I99,164113,54653362,300.3
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the respiratory system,J00-J98,42238,54653362,77.3
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the digestive system,K00-K92,16282,54653362,29.8
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the skin and subcutaneous tissue,L00-L98,775,54653362,1.4
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the musculoskeletal system and connective tissue,M00-M99,2302,54653362,4.2
Census Region 1: Northeast,CENS-R1,2007,2007,Diseases of the genitourinary system,N00-N98,13249,54653362,24.2
Census Region 1: Northeast,CENS-R1,2007,2007,"Pregnancy, childbirth and the puerperium",O00-O99,143,54653362,0.3
Census Region 1: Northeast,CENS-R1,2007,2007,Certain conditions originating in the perinatal period,P00-P96,2301,54653362,4.2
Census Region 1: Northeast,CENS-R1,2007,2007,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1447,54653362,2.6
Census Region 1: Northeast,CENS-R1,2007,2007,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,5726,54653362,10.5
Census Region 1: Northeast,CENS-R1,2007,2007,External causes of morbidity and mortality,V01-Y89,26826,54653362,49.1
Census Region 1: Northeast,CENS-R1,2008,2008,Certain infectious and parasitic diseases,A00-B99,15108,54875926,27.5
Census Region 1: Northeast,CENS-R1,2008,2008,Neoplasms,C00-D48,113054,54875926,206
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1934,54875926,3.5
Census Region 1: Northeast,CENS-R1,2008,2008,"Endocrine, nutritional and metabolic diseases",E00-E88,17214,54875926,31.4
Census Region 1: Northeast,CENS-R1,2008,2008,Mental and behavioural disorders,F01-F99,19981,54875926,36.4
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the nervous system,G00-G98,21591,54875926,39.3
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the eye and adnexa,H00-H57,10,54875926,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the ear and mastoid process,H60-H93,10,54875926,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the circulatory system,I00-I99,163828,54875926,298.5
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the respiratory system,J00-J98,44726,54875926,81.5
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the digestive system,K00-K92,16260,54875926,29.6
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the skin and subcutaneous tissue,L00-L98,789,54875926,1.4
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the musculoskeletal system and connective tissue,M00-M99,2314,54875926,4.2
Census Region 1: Northeast,CENS-R1,2008,2008,Diseases of the genitourinary system,N00-N98,12868,54875926,23.4
Census Region 1: Northeast,CENS-R1,2008,2008,"Pregnancy, childbirth and the puerperium",O00-O99,146,54875926,0.3
Census Region 1: Northeast,CENS-R1,2008,2008,Certain conditions originating in the perinatal period,P00-P96,2211,54875926,4
Census Region 1: Northeast,CENS-R1,2008,2008,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1512,54875926,2.8
Census Region 1: Northeast,CENS-R1,2008,2008,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,5685,54875926,10.4
Census Region 1: Northeast,CENS-R1,2008,2008,External causes of morbidity and mortality,V01-Y89,27015,54875926,49.2
Census Region 1: Northeast,CENS-R1,2009,2009,Certain infectious and parasitic diseases,A00-B99,14949,55133101,27.1
Census Region 1: Northeast,CENS-R1,2009,2009,Neoplasms,C00-D48,112659,55133101,204.3
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1836,55133101,3.3
Census Region 1: Northeast,CENS-R1,2009,2009,"Endocrine, nutritional and metabolic diseases",E00-E88,16941,55133101,30.7
Census Region 1: Northeast,CENS-R1,2009,2009,Mental and behavioural disorders,F01-F99,20588,55133101,37.3
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the nervous system,G00-G98,21302,55133101,38.6
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the eye and adnexa,H00-H57,10,55133101,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the ear and mastoid process,H60-H93,12,55133101,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the circulatory system,I00-I99,157968,55133101,286.5
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the respiratory system,J00-J98,43336,55133101,78.6
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the digestive system,K00-K92,15824,55133101,28.7
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the skin and subcutaneous tissue,L00-L98,796,55133101,1.4
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the musculoskeletal system and connective tissue,M00-M99,2153,55133101,3.9
Census Region 1: Northeast,CENS-R1,2009,2009,Diseases of the genitourinary system,N00-N98,12486,55133101,22.6
Census Region 1: Northeast,CENS-R1,2009,2009,"Pregnancy, childbirth and the puerperium",O00-O99,158,55133101,0.3
Census Region 1: Northeast,CENS-R1,2009,2009,Certain conditions originating in the perinatal period,P00-P96,2166,55133101,3.9
Census Region 1: Northeast,CENS-R1,2009,2009,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1383,55133101,2.5
Census Region 1: Northeast,CENS-R1,2009,2009,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,7209,55133101,13.1
Census Region 1: Northeast,CENS-R1,2009,2009,External causes of morbidity and mortality,V01-Y89,25772,55133101,46.7
Census Region 1: Northeast,CENS-R1,2010,2010,Certain infectious and parasitic diseases,A00-B99,14708,55317240,26.6
Census Region 1: Northeast,CENS-R1,2010,2010,Neoplasms,C00-D48,113644,55317240,205.4
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1879,55317240,3.4
Census Region 1: Northeast,CENS-R1,2010,2010,"Endocrine, nutritional and metabolic diseases",E00-E88,17028,55317240,30.8
Census Region 1: Northeast,CENS-R1,2010,2010,Mental and behavioural disorders,F01-F99,23592,55317240,42.6
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the nervous system,G00-G98,22006,55317240,39.8
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the circulatory system,I00-I99,155384,55317240,280.9
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the respiratory system,J00-J98,42329,55317240,76.5
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the digestive system,K00-K92,16184,55317240,29.3
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the skin and subcutaneous tissue,L00-L98,768,55317240,1.4
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the musculoskeletal system and connective tissue,M00-M99,2273,55317240,4.1
Census Region 1: Northeast,CENS-R1,2010,2010,Diseases of the genitourinary system,N00-N98,12627,55317240,22.8
Census Region 1: Northeast,CENS-R1,2010,2010,"Pregnancy, childbirth and the puerperium",O00-O99,147,55317240,0.3
Census Region 1: Northeast,CENS-R1,2010,2010,Certain conditions originating in the perinatal period,P00-P96,2029,55317240,3.7
Census Region 1: Northeast,CENS-R1,2010,2010,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1370,55317240,2.5
Census Region 1: Northeast,CENS-R1,2010,2010,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6164,55317240,11.1
Census Region 1: Northeast,CENS-R1,2010,2010,External causes of morbidity and mortality,V01-Y89,27558,55317240,49.8
Census Region 1: Northeast,CENS-R1,2011,2011,Certain infectious and parasitic diseases,A00-B99,14812,55632766,26.6
Census Region 1: Northeast,CENS-R1,2011,2011,Neoplasms,C00-D48,113285,55632766,203.6
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1958,55632766,3.5
Census Region 1: Northeast,CENS-R1,2011,2011,"Endocrine, nutritional and metabolic diseases",E00-E88,18229,55632766,32.8
Census Region 1: Northeast,CENS-R1,2011,2011,Mental and behavioural disorders,F01-F99,26966,55632766,48.5
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the nervous system,G00-G98,22275,55632766,40
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the ear and mastoid process,H60-H93,14,55632766,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the circulatory system,I00-I99,155119,55632766,278.8
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the respiratory system,J00-J98,45696,55632766,82.1
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the digestive system,K00-K92,16689,55632766,30
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the skin and subcutaneous tissue,L00-L98,865,55632766,1.6
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the musculoskeletal system and connective tissue,M00-M99,2276,55632766,4.1
Census Region 1: Northeast,CENS-R1,2011,2011,Diseases of the genitourinary system,N00-N98,12316,55632766,22.1
Census Region 1: Northeast,CENS-R1,2011,2011,"Pregnancy, childbirth and the puerperium",O00-O99,161,55632766,0.3
Census Region 1: Northeast,CENS-R1,2011,2011,Certain conditions originating in the perinatal period,P00-P96,1922,55632766,3.5
Census Region 1: Northeast,CENS-R1,2011,2011,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1366,55632766,2.5
Census Region 1: Northeast,CENS-R1,2011,2011,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6813,55632766,12.2
Census Region 1: Northeast,CENS-R1,2011,2011,External causes of morbidity and mortality,V01-Y89,29273,55632766,52.6
Census Region 1: Northeast,CENS-R1,2012,2012,Certain infectious and parasitic diseases,A00-B99,14168,55829059,25.4
Census Region 1: Northeast,CENS-R1,2012,2012,Neoplasms,C00-D48,113183,55829059,202.7
Census Region 1: Northeast,CENS-R1,2012,2012,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2073,55829059,3.7
